scraper,2021-11-01,2021-10-30,2021-10-28,2021-10-26,2021-10-25,2021-10-14
apple,0,0,0,0,0,
cisco,0,0,,,,
nsf,0,0,0,0,0,0
simplyHired,0,0,0,0,1,1
ziprecruiter,0,0,0,,,
