site,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,lastScraped,index,url,description
manualInput,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1
manualInput,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1
manualInput,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1
